timestamp,ip,port,organization,country,city,service,version,cve_ids,vulnerabilities_count,risk_level,risk_score,os,hostname,isp,asn,http_code,ssl_cert,tags
2026-02-17T00:29:19.357345,185.238.74.213,6379,ULTIMAHOST.PL SZELIGA sp. j.,N/A,N/A,Redis key-value store,8.6.0,,0,INFO,5.0,Linux 5.15.0-164-generic x86_64,cezaryjackiewicz.pl,ZINET.NET.PL Sp. z.o.o.,AS41508,N/A,N/A,
2026-02-17T00:29:19.370452,65.21.161.115,6379,Hetzner Online GmbH,N/A,N/A,Redis key-value store,7.2.10,,0,INFO,5.0,Linux 5.15.0-100-generic x86_64,static.115.161.21.65.clients.your-server.de,Hetzner Online GmbH,AS24940,N/A,N/A,compromised
2026-02-17T00:29:19.382272,195.179.227.230,6379,Contabo GmbH,N/A,N/A,Redis key-value store,7.4.1,,0,INFO,5.0,Linux 5.15.0-107-generic x86_64,vmi1893359.contaboserver.net,Contabo GmbH,AS51167,N/A,N/A,
2026-02-17T00:29:19.390868,175.178.215.74,6379,"Tencent cloud computing (Beijing) Co., Ltd.",N/A,N/A,Redis key-value store,7.0.15,,0,INFO,5.0,Linux 6.8.0-87-generic x86_64,N/A,Shenzhen Tencent Computer Systems Company Limited,AS45090,N/A,N/A,"eol-product,eol-os,compromised"
2026-02-17T00:29:19.401891,181.224.231.39,6379,ECONOCABLE MEDIA SAC,N/A,N/A,Redis key-value store,7.4.0,,0,INFO,5.0,Linux 6.8.0-84-generic x86_64,static23139.flx.com.pe,ECONOCABLE MEDIA SAC,AS262253,N/A,N/A,eol-os
2026-02-17T00:29:19.416253,16.145.48.204,6379,"Amazon.com, Inc.",N/A,N/A,Redis key-value store,5.0.5,"CVE-2021-32761,CVE-2021-21309,CVE-2015-8080,CVE-2021-3470,CVE-2020-14147",5,HIGH,75.0,Linux 4.14.109-99.92.amzn2.x86_64 x86_64,ec2-16-145-48-204.us-west-2.compute.amazonaws.com,"Amazon.com, Inc.",AS16509,N/A,N/A,"eol-product,eol-os,cloud"
2026-02-17T00:29:19.427114,60.205.136.237,6379,"Aliyun Computing Co., LTD",N/A,N/A,Redis key-value store,6.2.13,,0,INFO,5.0,Linux 3.10.0-1160.119.1.el7.x86_64 x86_64,N/A,"Hangzhou Alibaba Advertising Co.,Ltd.",AS37963,N/A,N/A,"eol-product,eol-os,compromised"
2026-02-17T00:29:19.447680,174.138.89.92,6379,"DigitalOcean, LLC",N/A,N/A,Redis key-value store,8.4.0,,0,INFO,5.0,Linux 6.8.0-71-generic x86_64,N/A,"DigitalOcean, LLC",AS14061,N/A,N/A,"eol-os,cloud"
2026-02-17T00:29:19.456912,152.136.108.17,6379,"Tencent Cloud Computing (Beijing) Co., Ltd",N/A,N/A,Redis key-value store,7.2.0,,0,INFO,5.0,Linux 5.15.0-76-generic x86_64,N/A,Shenzhen Tencent Computer Systems Company Limited,AS45090,N/A,N/A,cloud
2026-02-17T00:29:19.467671,51.222.27.105,6379,"OVH Hosting, Inc.",N/A,N/A,Redis key-value store,3.2.12,"CVE-2018-12326,CVE-2021-3470,CVE-2020-14147,CVE-2021-32761,CVE-2019-10193,CVE-2019-10192,CVE-2018-12453",7,HIGH,75.0,Linux 3.10.0-1160.88.1.el7.x86_64 x86_64,vps-7f0a6be5.vps.ovh.ca,OVH SAS,AS16276,N/A,N/A,"eol-product,eol-os"
2026-02-17T00:29:19.480929,185.173.104.192,6379,Noavaran Shabakeh Sabz Mehregan Company (Ltd.),N/A,N/A,Redis key-value store,8.4.0,,0,INFO,5.0,Linux 5.15.0-168-generic x86_64,192-104-173-185.static.hostiran.name,Hostiran Network,AS59441,N/A,N/A,compromised
2026-02-17T00:29:19.490519,175.178.185.80,6379,"Tencent cloud computing (Beijing) Co., Ltd.",N/A,N/A,Redis key-value store,8.2.0,,0,INFO,5.0,Linux 3.10.0-1160.119.1.el7.x86_64 x86_64,N/A,Shenzhen Tencent Computer Systems Company Limited,AS45090,N/A,N/A,"eol-os,compromised"
2026-02-17T00:29:19.502586,34.142.237.67,6379,Google LLC,N/A,N/A,Redis key-value store,8.4.0,,0,INFO,5.0,Linux 6.14.0-1021-gcp aarch64,67.237.142.34.bc.googleusercontent.com,Google LLC,AS396982,N/A,N/A,"eol-os,cloud,compromised"
2026-02-17T00:29:19.511936,95.111.249.141,6379,Contabo GmbH,N/A,N/A,Redis key-value store,7.4.2,,0,INFO,5.0,Linux 6.1.0-37-amd64 x86_64,vmi2438091.contaboserver.net,Contabo GmbH,AS51167,N/A,N/A,
2026-02-17T00:29:19.523512,178.156.176.51,6379,Hetzner Online GmbH,N/A,N/A,Redis key-value store,8.2.0,,0,INFO,5.0,Linux 5.15.0-153-generic x86_64,static.51.176.156.178.clients.your-server.de,Hetzner Online GmbH,AS213230,N/A,N/A,
2026-02-17T00:29:19.536870,119.6.253.111,6379,China Unicom SiChuan province network,N/A,N/A,Redis key-value store,7.0.4,,0,INFO,5.0,Linux 6.8.0-52-generic x86_64,N/A,CHINA UNICOM China169 Backbone,AS4837,N/A,N/A,"eol-product,eol-os,compromised"
2026-02-17T00:29:19.547861,51.112.229.130,6379,A100 ROW Inc,N/A,N/A,Redis key-value store,5.0.5,"CVE-2021-32761,CVE-2021-21309,CVE-2015-8080,CVE-2021-3470,CVE-2020-14147",5,HIGH,75.0,Linux 4.14.109-99.92.amzn2.x86_64 x86_64,ec2-51-112-229-130.me-central-1.compute.amazonaws.com,"Amazon.com, Inc.",AS16509,N/A,N/A,"eol-product,eol-os,cloud"
2026-02-17T00:29:19.559458,146.190.107.138,6379,"DigitalOcean, LLC",N/A,N/A,Redis key-value store,7.4.7,,0,INFO,5.0,Linux 6.8.0-51-generic x86_64,N/A,"DigitalOcean, LLC",AS14061,N/A,N/A,"eol-os,cloud,compromised"
2026-02-17T00:29:19.572921,156.238.224.240,6379,"High Family Technology Co., Limited",N/A,N/A,Redis key-value store,7.4.7,,0,INFO,5.0,Linux 5.15.0-168-generic x86_64,N/A,FASTNET DATA INC,AS8796,N/A,N/A,
2026-02-17T00:29:19.585773,38.127.138.23,6379,Cogent Communications,N/A,N/A,Redis key-value store,7.2.10,,0,INFO,5.0,Linux 5.15.167.4 x86_64,N/A,Cogent Communications,AS174,N/A,N/A,
2026-02-17T00:29:19.596704,91.107.210.63,6379,Hetzner Online GmbH,N/A,N/A,Redis key-value store,7.4.7,,0,INFO,5.0,Linux 6.8.0-90-generic x86_64,static.63.210.107.91.clients.your-server.de,Hetzner Online GmbH,AS24940,N/A,N/A,eol-os
2026-02-17T00:29:19.606661,167.99.122.184,6379,"DigitalOcean, LLC",N/A,N/A,Redis key-value store,5.0.14,,0,INFO,5.0,Linux 5.4.0-200-generic x86_64,N/A,"DigitalOcean, LLC",AS14061,N/A,N/A,"eol-product,eol-os,cloud"
